"Plot_Name","Unit_Code","Panel","Physio","Directions","Location_Notes","SampleYear","Lat","Long","IsStuntedWoodland","Num_Live_Trees","Num_Dead_Trees","Inv_Shrub_Cov","Num_Seedlings","Num_Saplings","Num_Quad_Species","Num_Add_Species","BL","BR","UL","UR"
"ACAD-011","ACAD","1","Mesic- Flatwoods","Take carraige trail past Aunt Betty pond, then 120 degree bearing.","White pine overstory, spruce/fir mid-layer, thick needle ground layer. Red pine mortality makes up about 1/3 of the trees on plot.",2026,44.366116,-68.269938,FALSE,10,10,0,15,3,9,9,"ACAD_011_BL_20260616.JPG","ACAD_011_BR_20260616.JPG","ACAD_011_UL_20260616.JPG","ACAD_011_UR_20260616.JPG"
"ACAD-012","ACAD","1","Mesic- Rolling Uplands","Take fireroad near Hull's Cove south toward Breakneck Pond.  Cut in at 280 degrees.","Red oak-Spruce woodland with huckleberry and bracken fern understory.",2026,44.398749,-68.258318,FALSE,24,1,0,3,7,10,3,"ACAD_012_BL_20260616.JPG","ACAD_012_BR_20260616.JPG","ACAD_012_UL_20260616.JPG","ACAD_012_UR_20260616.JPG"
"ACAD-013","ACAD","1","Mesic- Flatwoods","Witch Hole Pond Carriage Trail from Hull's Cove Visitor's Center","White pine/red oak forest.",2026,44.401833,-68.248196,FALSE,29,2,0,0,2,4,4,"ACAD_013_BL_20260617.JPG","ACAD_013_BR_20260617.JPG","ACAD_013_UL_20260617.JPG","ACAD_013_UR_20260617.JPG"
"ACAD-014","ACAD","1","Mesic- Flatwoods","233, then 50 degree bearing.  Or take opening east of carriage trail sign- facing bar harbor traffic","West of pony shed.  Most stakes and tags were removed from the plot by a vandal, including plot center.  A new plot ACAD_MDI_014 was re-established in its place, and all of the original trees were located. Tree data are comparable, but quadrat and microplot data are not. 2014 - Reset UC, was set at 6.5m. Reset UL, was set at 9.8m.",2026,44.378411,-68.24724,FALSE,31,6,0,0,2,6,4,"ACAD_014_BL_20260617.JPG","ACAD_014_BR_20260617.JPG","ACAD_014_UL_20260617.JPG","ACAD_014_UR_20260617.JPG"
"ACAD-015","ACAD","1","Xeric- Dry Slopes","Park at MDI HS, take the cross country trail behind football field into park. Stay on trail until 110m from plot.","Beech and red oak forest; rocky.",2026,44.377197,-68.308776,FALSE,20,4,0,11,1,10,5,"ACAD_015_BL_20260616.JPG","ACAD_015_BR_20260616.JPG","ACAD_015_UL_20260616.JPG","ACAD_015_UR_20260616.JPG"
"ACAD-016","ACAD","1","Mesic- Moist Slopes and Coves","Great Notch Trail, up stream, then 30-40 degree bearing.  Goes through rubble field that's steep at times , but ends at sampleable spot. Try leaving the trail before reaching perpendicular to plot and approaching from the south on the east side of the stream to avoid steapest section.","Red spruce, white cedar; steep and rocky.",2026,44.301044,-68.363514,FALSE,44,2,0,0,1,3,6,"ACAD_016_BL_20260618.JPG","ACAD_016_BR_20260618.JPG","ACAD_016_UL_20260618.JPG","ACAD_016_UR_20260618.JPG"
"ACAD-017","ACAD","1","Mesic- Moist Slopes and Coves","Western Mtn road to Seal Cove Pond Rd","Diverse understory plot- sphagnum and upland species. Data missing for terrain position, A. Vincello, 5/13/2009.",2026,44.291873,-68.383656,FALSE,17,6,0,25,2,20,13,"ACAD_017_BL_20260618.JPG","ACAD_017_BR_20260618.JPG","ACAD_017_UL_20260618.JPG","ACAD_017_UR_20260618.JPG"
"ACAD-018","ACAD","1","Mesic- Flatwoods","Seal Cove Road, then fire road near white birches campground","LL CWD transect extends out of forested area near gravel pile and on a black saturn with government plates and playing loud music.  Red maple, red spruce forest.",2026,44.280896,-68.352453,FALSE,26,4,0,3,6,5,1,"ACAD_018_BL_20260706.JPG","ACAD_018_BR_20260706.JPG","ACAD_018_UL_20260706.JPG","ACAD_018_UR_20260706.JPG"
"ACAD-019","ACAD","1","Hydric- Swamps/Bogs","Long Pond Fire Road, park in pull off on top of hill, then south about 600 meters","White cedar forest with sphagnum herb layer. Bring boots if rainy.",2026,44.329215,-68.393361,FALSE,22,5,0,28,4,24,5,"ACAD_019_BL_20260625.JPG","ACAD_019_BR_20260625.JPG","ACAD_019_UL_20260625.JPG","ACAD_019_UR_20260625.JPG"
"ACAD-020","ACAD","1","Xeric- Dry Slopes","From Eli Cabin, take Duck Harbor Trail to road, then follow a 30 degree bearing","IAH: black spruce trees, rocky.",2026,44.037244,-68.638597,FALSE,18,1,0,14,2,11,4,"ACAD_020_BL_20260630.JPG","ACAD_020_BR_20260630.JPG","ACAD_020_UL_20260630.JPG","ACAD_020_UR_20260630.JPG"
"ACAD-021","ACAD","1","Mesic- Rolling Uplands","310 degree bearing, 200 meters from ACAD20","IAH: pitch pine woodland, lots of huckleberry. Reset BR 7/1/2014",2026,44.03886,-68.639736,FALSE,19,3,0,2,1,11,1,"ACAD_021_BL_20260630.JPG","ACAD_021_BR_20260630.JPG","ACAD_021_UL_20260630.JPG","ACAD_021_UR_20260630.JPG"
"ACAD-022","ACAD","1","Mesic- Moist Slopes and Coves","Nat Merchant trailhead, follow blazed property boundary, then north baring","IAH: plot at edge of bog with Arethusa and Calopogon orchids. ",2026,44.027877,-68.623593,FALSE,23,3,0,9,13,13,4,"ACAD_022_BL_20260629.JPG","ACAD_022_BR_20260629.JPG","ACAD_022_UL_20260629.JPG","ACAD_022_UR_20260629.JPG"
"ACAD-023","ACAD","1","Mesic- Moist Slopes and Coves","take long pond trail (IAH)","IAH:  Very rocky, sampled 1 quad on large rock, near long pond trail. Orientation recorded as 270 by 2010 crew.",2026,44.043338,-68.613372,FALSE,30,3,0,0,0,7,2,"ACAD_023_BL_20260701.JPG","ACAD_023_BR_20260701.JPG","ACAD_023_UL_20260701.JPG","ACAD_023_UR_20260701.JPG"
"ACAD-024","ACAD","1","Mesic- Rolling Uplands","Take Long Pond Road to Western Mountain Trail, then about 1 km south.  Easier to go to ACAD25 first then locate ACAD24. A little less than 600 m bushwack from plot 25. A long, but not very difficult bushwack.","Red maple dominated forest with dense huckleberry understory.",2026,44.306005,-68.384837,FALSE,14,0,0,12,0,12,3,"ACAD_024_BL_20260624.JPG","ACAD_024_BR_20260624.JPG","ACAD_024_UL_20260624.JPG","ACAD_024_UR_20260624.JPG"
"ACAD-025","ACAD","1","Mesic- Moist Slopes and Coves","Long Pond Fireroad to Western Mountain trail, then south (30 degrees from ACAD 24)","Cedar forest with large downed logs in plot.  Stream near left side of plot.. ",2026,44.310503,-68.380991,FALSE,16,12,0,36,0,6,11,"ACAD_025_BL_20260624.JPG","ACAD_025_BR_20260624.JPG","ACAD_025_UL_20260624.JPG","ACAD_025_UR_20260624.JPG"
"ACAD-026","ACAD","1","Mesic- Rolling Uplands","Long pond fireroad, follow ridge up from wetland.","LR stake is 20cm upslope from measured spot because of root.  Cedar forest with large downed logs, upslope from large wetland.",2026,44.316993,-68.395895,FALSE,11,6,0,26,5,10,12,"ACAD_026_BL_20260624.JPG","ACAD_026_BR_20260624.JPG","ACAD_026_UL_20260624.JPG","ACAD_026_UR_20260624.JPG"
"ACAD-027","ACAD","1","Mesic- Moist Slopes and Coves","Drive Hio fireroad off 102, near Bass Harbor, then 60 degree baring.","Spruce-fir forest, little herb cover. Knee boots not needed on plot but helpful for the walk in, except in dry years",2026,44.257293,-68.326455,FALSE,23,5,0,11,2,11,6,"ACAD_027_BL_20260625.JPG","ACAD_027_BR_20260625.JPG","ACAD_027_UL_20260625.JPG","ACAD_027_UR_20260625.JPG"
"ACAD-028","ACAD","1","Mesic- Moist Slopes and Coves","Day Mountain carriage trails.  Kiking from Day Mtn trail from the south, by Rt. 3 recommended to avoid carriage and car interactions","Beech/ Maple forest, close to Day Mtn. carriage trail.",2026,44.308042,-68.229509,FALSE,8,0,0,5,1,6,13,"ACAD_028_BL_20260629.JPG","ACAD_028_BR_20260629.JPG","ACAD_028_UL_20260629.JPG","ACAD_028_UR_20260629.JPG"
"ACAD-029","ACAD","1","Hydric- Swamps/Bogs","Seal Cove Road to fire road toward S. Bald Mtn., then North bearing","White cedar, sphagnum forest.",2026,44.28557,-68.368719,FALSE,30,12,0,11,0,23,7,"ACAD_029_BL_20260618.jpeg","ACAD_029_BR_20260618.jpeg","ACAD_029_UL_20260618.jpeg","ACAD_029_UR_20260618.jpeg"
"ACAD-030","ACAD","1","Xeric- Dry Slopes","Blackwoods Campground, then 60 degree bearing",NA,2026,44.312605,-68.20303,FALSE,30,3,0,3,1,10,7,"ACAD_030_BL_20260623.JPG","ACAD_030_BR_20260623.JPG","ACAD_030_UL_20260623.JPG","ACAD_030_UR_20260623.JPG"
"ACAD-031","ACAD","1","Mesic- Rolling Uplands","Long Pond Trail, then West bearing for 240 meters","Discontinuous canopy; dense spruce understory, hardwood dominants.",2026,44.312042,-68.359608,FALSE,22,4,0,5,13,5,3,"ACAD_031_BL_20260706.JPG","ACAD_031_BR_20260706.JPG","ACAD_031_UL_20260706.JPG","ACAD_031_UR_20260706.JPG"
"ACAD-032","ACAD","1","Mesic- Moist Slopes and Coves","Park at Long Pond boat ramp and take long pond trail to plot. Steep in areas, so follow trail until you walk down slope to plot.","White cedar, spruce forest - up slope from stream full of w. cedar blowdowns.",2026,44.313649,-68.368556,FALSE,37,4,0,6,6,4,5,"ACAD_032_BL_20260624.JPG","ACAD_032_BR_20260624.JPG","ACAD_032_UL_20260624.JPG","ACAD_032_UR_20260624.JPG"
"ACAD-033","ACAD","1","Mesic- Moist Slopes and Coves","Western Mtn trail past ACAD25.","Red spruce/white cedar forest.. ",2026,44.308957,-68.379803,FALSE,23,2,0,6,0,15,8,"ACAD_033_BL_20260624.JPG","ACAD_033_BR_20260624.JPG","ACAD_033_UL_20260624.JPG","ACAD_033_UR_20260624.JPG"
"ACAD-034","ACAD","1","Mesic- Rolling Uplands","North entrance of BreakNeck fireroad- 500m south, then west 1.2 km.  Passed grts 11.","Long hike in down breakneck fireroad- r. oak and r. maple codominates, r. spruce intermediates.. Poor accuracy, took 75 positions.",2026,44.397201,-68.269589,FALSE,32,0,0,0,14,3,4,"ACAD_034_BL_20260616.JPG","ACAD_034_BR_20260616.JPG","ACAD_034_UL_20260616.JPG","ACAD_034_UR_20260616.JPG"
"ACAD-035","ACAD","1","Xeric- Dry Slopes","Carriage trail down eagle lake to Conners Nubble, then south.","Rock outcrop and opening in center of plot- lots of balsam fir. ",2026,44.358194,-68.258768,FALSE,24,4,0,18,10,12,9,"ACAD_035_BL_20260617.JPG","ACAD_035_BR_20260617.JPG","ACAD_035_UL_20260617.JPG","ACAD_035_UR_20260617.JPG"
"ACAD-036","ACAD","1","Mesic- Rolling Uplands","Schoodic, park at blueberry hill parking and take alder trail towards ranger station, then 40-60 degrees to plot center","Large opening in center of plot with large outcrops.
Barely 25% canopy cover.  SERC- Exposed rock in center of plot, some stunted jack pine, large spruce.  Red vs black spruce difficult to identify
terrain position: top of slope because located on small knob- everywhere from center is down hill, topographically= lowerslope. waypointed 2m west of plot center because of large tree (in the way).
Changed orientation to 2 degrees to better reflect azimuths around the plot.",2026,44.341076,-68.048241,FALSE,24,1,0,7,6,12,6,"ACAD_036_BL_20260622.JPG","ACAD_036_BR_20260622.JPG","ACAD_036_UL_20260622.JPG","ACAD_036_UR_20260622.JPG"
"ACAD-037","ACAD","1","Mesic- Rolling Uplands","1.3 km from Rd; 130 degree baring parked at same parking area as Plot 4.","Red oak forest with white pine regen and open understory.  Blueberries!.",2026,44.366106,-68.282513,FALSE,10,0,0,8,3,16,7,"ACAD_037_BL_20260615.JPG","ACAD_037_BR_20260615.JPG","ACAD_037_UL_20260615.JPG","ACAD_037_UR_20260615.JPG"
"ACAD-038","ACAD","1","Mesic- Moist Slopes and Coves","Long pond fire road then east (downhill) 40 meters, cross over small stream near plot","Stream running near plot, heard from road. Dense red spruce canopy.. Poor satellite coverage",2026,44.332588,-68.380984,FALSE,31,2,0,3,4,4,4,"ACAD_038_BL_20260625.JPG","ACAD_038_BR_20260625.JPG","ACAD_038_UL_20260625.JPG","ACAD_038_UR_20260625.JPG"
"ACAD-039","ACAD","2","Mesic- Rolling Uplands","Park at Dermott house (park housing), 77 m to plot.","Mixed hard wood, a little rocky with Gaylussacia and Pterdium in the understory",2023,44.376931,-68.266176,FALSE,18,1,0,8,2,15,8,"ACAD_039_BL_20230705.JPG","ACAD_039_BR_20230705.JPG","ACAD_039_UL_20230705.JPG","ACAD_039_UR_20230705.JPG"
"ACAD-040","ACAD","2","Mesic- Flatwoods","take giant slide trail to carriage road.  Take a left, go just past bridge that crosses stream and head in toward the left.","Cool lichens present: Lobaria pulmonaria, Leptogium cortifolia, Loberia quercizans.",2023,44.353667,-68.290206,FALSE,15,9,0,21,11,16,14,"ACAD_040_BL_20230627.JPG","ACAD_040_BR_20230627.JPG","ACAD_040_UL_20230627.JPG","ACAD_040_UR_20230627.JPG"
"ACAD-041","ACAD","2","Mesic- Flatwoods","May be best t leave from Seawall Apt. and hike west along beach, then into woods, or park at the wonderland trail, hike in until GPS directs you perpendicular. 2019 - the hike a ong the beach is very nice, only 170m buswhack at the end.","Lots of spruce regen. With thin canopy sruce.  Moss groundcover",2023,44.233771,-68.310369,FALSE,10,1,0,45,33,13,2,"ACAD_041_BL_20230626.JPG","ACAD_041_BR_20230626.JPG","ACAD_041_UL_20230626.JPG","ACAD_041_UR_20230626.JPG"
"ACAD-042","ACAD","2","Mesic- Rolling Uplands","Ascended the trail that goes up Bald Mtn, until about 80m left. Then follow an azimuth of 70, across blueberry outcrops and amazing views until you reach the plot.",NA,2023,44.295091,-68.386217,FALSE,19,1,0,5,3,11,7,"ACAD_042_BL_20230622.JPG","ACAD_042_BR_20230622.JPG","ACAD_042_UL_20230622.JPG","ACAD_042_UR_20230622.JPG"
"ACAD-043","ACAD","2","Mesic- Rolling Uplands","park at pull-off for Sieur-de-Monts Spring trail, hike up short distance then head in up hill when 60-some meteres left","Nice plot- very open, lots of dead paper birch.",2023,44.371933,-68.217099,FALSE,24,1,0,4,3,14,12,"ACAD_043_BL_20230711.JPG","ACAD_043_BR_20230711.JPG","ACAD_043_UL_20230711.JPG","ACAD_043_UR_20230711.JPG"
"ACAD-044","ACAD","2","Xeric- Dry Slopes","from Jackson lab, head across street at 340 degrees for500 meters.","High elevation red oak woodland.  Center left stake moved 0.6m along 20 degree azimuth.",2023,44.368769,-68.202143,FALSE,14,0,0.1,21,2,13,15,"ACAD_044_BL_20230628.JPG","ACAD_044_BR_20230628.JPG","ACAD_044_UL_20230628.JPG","ACAD_044_UR_20230628.JPG"
"ACAD-045","ACAD","2","Mesic- Rolling Uplands","take canon brook trail to trail intersection.  Take a right keeping marsh on right. Head into forest on left.","Beech,birch stand.. BC offset at 6.5 instead of 7.5 because of rock
BC offset is still correct but we spray painted a green dot at actual stake location of 7.5m",2023,44.348523,-68.206257,FALSE,14,4,0,5,2,10,11,"ACAD_045_BL_20230705.JPG","ACAD_045_BR_20230705.JPG","ACAD_045_UL_20230705.JPG","ACAD_045_UR_20230705.JPG"
"ACAD-046","ACAD","2","Mesic- Floodplains/Bottomlands","take canon brook trail in, past sign for Dorr mountain. wear boots second half of bushwack.","Worst mosquitos any of us have ever seen (date unknown). Mixed hardwood/conifer, UR corner of plot had standing water in 2023.",2023,44.335998,-68.213889,FALSE,44,9,0,25,3,18,18,"ACAD_046_BL_20230705.JPG","ACAD_046_BR_20230705.JPG","ACAD_046_UL_20230705.JPG","ACAD_046_UR_20230705.JPG"
"ACAD-047","ACAD","2","Mesic- Moist Slopes and Coves","Park at Gorham Mt trail head on the loop rd, hike up Gorham Mt trail, bear left at first fork (don't take Cadillac Cliff trail).","Mosaic plot: spruce and birch, partly open on a rock.

6/22/2015:  BL offset was moved to 10.9m along the correct line (205 degrees). Quadrat should be set on the rock.",2023,44.320536,-68.193855,FALSE,16,7,0,3,4,14,12,"ACAD_047_BL_20230706.JPG","ACAD_047_BR_20230706.JPG","ACAD_047_UL_20230706.JPG","ACAD_047_UR_20230706.JPG"
"ACAD-048","ACAD","2","Xeric- Dry Slopes","We parked at the brown mountain trailhead and followed the carriage road to the ampitheatre. We passed the ampitheater and hiking trail, then turned up the slope at an azimuth of 260 for about 200m. It is a steepand rocky slope."," UR stake offset 0.8m at 332 degrees from true UR.  Jill Weber in field with us today.  Only come to this plot on a dry day in a dry week.  White pine woodland with rocky outcrops..",2023,44.323818,-68.266725,FALSE,19,1,0,28,1,16,9,"ACAD_048_BL_20230707.JPG","ACAD_048_BR_20230707.JPG","ACAD_048_UL_20230707.JPG","ACAD_048_UR_20230707.JPG"
"ACAD-049","ACAD","2","Mesic- Moist Slopes and Coves","park at end of short gated road off of Seal Cove Rd, and head in","Dense stand of young red sruce, near pretty creek.",2023,44.276119,-68.351478,FALSE,26,7,0,19,21,7,1,"ACAD_049_BL_20230626.JPG","ACAD_049_BR_20230626.JPG","ACAD_049_UL_20230626.JPG","ACAD_049_UR_20230626.JPG"
"ACAD-050","ACAD","2","Mesic- Rolling Uplands","park on Seal Cove Rd- when have roughly 170m left, go in at roughly north","Red spruce, red maple forest.",2023,44.291932,-68.381386,FALSE,37,5,0,3,4,8,7,"ACAD_050_BL_20230620.JPG","ACAD_050_BR_20230620.JPG","ACAD_050_UL_20230620.JPG","ACAD_050_UR_20230620.JPG"
"ACAD-051","ACAD","2","Mesic- Moist Slopes and Coves","take Jorda pond trail, turn onto metic southeast trail","Spruce forest on rocky slope with moderate moss cover.  Rocks slippery when wet- not great to do in rain.",2023,44.328525,-68.240391,FALSE,11,5,0,24,17,9,4,"ACAD_051_BL_20230707.JPG","ACAD_051_BR_20230707.JPG","ACAD_051_UL_20230707.JPG","ACAD_051_UR_20230707.JPG"
"ACAD-052","ACAD","2","Hydric- Swamps/Bogs","take park loop road - park in right lane- go due east about 350 m into woods. Or take gated road just inside blackwoods campground (Rt. 3 side) and park at gravel pit. Walk about 700m to plot. Walk can be wet, bring rain boots. Walking from the loop road is much easier.","dense spruce/fir with some Ace rub.",2023,44.304887,-68.214305,FALSE,27,4,0,17,26,11,12,"ACAD_052_BL_20230706.JPG","ACAD_052_BR_20230706.JPG","ACAD_052_UL_20230706.JPG","ACAD_052_UR_20230706.JPG"
"ACAD-053","ACAD","2","Mesic- Rolling Uplands","park at valley peak trailhead, walk down the fine road, take trail, folloiw it, center is about 2 paces to right of trail if walking up.","Spruce forest with some regen.  Valley Peak trail runs through plot.",2023,44.307109,-68.320758,FALSE,12,5,0,7,7,5,11,"ACAD_053_BL_20230621.JPG","ACAD_053_BR_20230621.JPG","ACAD_053_UL_20230621.JPG","ACAD_053_UR_20230621.JPG"
"ACAD-054","ACAD","2","Mesic- Flatwoods","park at St. Saveur trail parking, take trail to first sign, then follow trail to Acadia Mt. Bushwalk about 400m along contour lines to plot.","Sparse mixed conifer canopy with gaylusscia understory.",2023,44.316484,-68.325803,FALSE,13,2,0,23,4,16,1,"ACAD_054_BL_20230621.JPG","ACAD_054_BR_20230621.JPG","ACAD_054_UL_20230621.JPG","ACAD_054_UR_20230621.JPG"
"ACAD-055","ACAD","2","Mesic- Rolling Uplands","park at loop for western mountain trail on long pond fire road.  Head south about 55m.","Spruce-cedar forest. Old trail (now deer trail) running through plot.",2023,44.313848,-68.393632,FALSE,20,3,0,13,0,8,12,"ACAD_055_BL_20230622.JPG","ACAD_055_BR_20230622.JPG","ACAD_055_UL_20230622.JPG","ACAD_055_UR_20230622.JPG"
"ACAD-056","ACAD","2","Mesic- Moist Slopes and Coves","Parked on the Park Loop rd at spot 17 and walked along the bubblepond carriage road. Then took hunters trail east and continued east to the plot","Shooting range at the end of the carriage road we did not take, the one that looks closer on the map. Open understory of spruce/cedar.. 2015- changed orientation to 67 from 70.",2023,44.32511,-68.225247,FALSE,15,1,0,5,3,10,9,"ACAD_056_BL_20230711.JPG","ACAD_056_BR_20230711.JPG","ACAD_056_UL_20230711.JPG","ACAD_056_UR_20230711.JPG"
"ACAD-057","ACAD","2","Mesic- Moist Slopes and Coves","park at the resevoir parking. Take Gilley trail. Plot center in trail.","Spruce and cedar, open understory.  Plot tags moved from center to upper right boundary stake. Plot center is on trail and tree tags face away from trail instead of towards center. BC regen stake is buried (an inch sticks up from ground and is near down log on east side of trail), UR regen stake also buried (an inch sticks up from ground)",2023,44.299423,-68.364936,FALSE,18,1,0,16,0,12,10,"ACAD_057_BL_20230621.JPG","ACAD_057_BR_20230621.JPG","ACAD_057_UL_20230621.JPG","ACAD_057_UR_20230621.JPG"
"ACAD-058","ACAD","2","Mesic- Rolling Uplands","from overlook on north end of park loop road, head in at 120 degrees for about 130m.","White pine/ red oak forest.",2023,44.404865,-68.23556,FALSE,21,3,0,0,2,11,12,"ACAD_058_BL_20230706.JPG","ACAD_058_BR_20230706.JPG","ACAD_058_UL_20230706.JPG","ACAD_058_UR_20230706.JPG"
"ACAD-059","ACAD","2","Mesic- Flatwoods","We took Duck Brook Rd and parked at the bridge to access the carriage trail. We followed the carriage trail until we were about 500m away and then headed in along an azimuth of about 130, skirting the swamp until we arrived","Slightly early successional/boggish, with white and red pine.",2023,44.384607,-68.242214,FALSE,8,3,0,8,27,11,12,"ACAD_059_BL_20230706.JPG","ACAD_059_BR_20230706.JPG","ACAD_059_UL_20230706.JPG","ACAD_059_UR_20230706.JPG"
"ACAD-060","ACAD","2","Mesic- Rolling Uplands","park at long pond fire road and take the Great Notch trail- head into woods when roughly 300m left","Pass through dense spruce on way, plot is dense but more open- no herbs just moss. Okay for a rainy day.",2023,44.313668,-68.373534,FALSE,58,2,0,0,7,1,0,"ACAD_060_BL_20230620.JPG","ACAD_060_BR_20230620.JPG","ACAD_060_UL_20230620.JPG","ACAD_060_UR_20230620.JPG"
"ACAD-061","ACAD","2","Mesic- Other Mesic","from trail that comes to long pond from western trail, cut north for about 300 m before pond.","Red spruce, bigtooth aspen. 2023-large red spruce fallen over plot center. Could settle on top of center stake in future",2023,44.324512,-68.36459,FALSE,12,2,0,10,25,5,3,"ACAD_061_BL_20230620.JPG","ACAD_061_BR_20230620.JPG","ACAD_061_UL_20230620.JPG","ACAD_061_UR_20230620.JPG"
"ACAD-062","ACAD","2","Mesic- Rolling Uplands","Parking in the Beech Mtn. parking lot, follow the trail to the summit of Beech Mtn., taking the right (and longer) fork as the trail Splits. Take the trail until there are about 100m left and then go west down slope to find the trail.","Young/small spruce-brich forest. ",2023,44.313455,-68.348446,FALSE,28,2,0,0,2,11,10,"ACAD_062_BL_20230621.JPG","ACAD_062_BR_20230621.JPG","ACAD_062_UL_20230621.JPG","ACAD_062_UR_20230621.JPG"
"ACAD-063","ACAD","2","Mesic- Floodplains/Bottomlands","park o fire road, head North 600m","Spruce, cedar, lots of moss.",2023,44.338704,-68.38319,FALSE,28,4,0,21,8,14,10,"ACAD_063_BL_20230626.JPG","ACAD_063_BR_20230626.JPG","ACAD_063_UL_20230626.JPG","ACAD_063_UR_20230626.JPG"
"ACAD-064","ACAD","2","Xeric- Dry Tops","350 degrees from goat trail for 120 m.  Turn in just east of duck harbor mt. trail intersection.","Spruce woodland, center pole offset 1.5m towards upper center;bottomn left corner offset 1m away from upper left.",2023,44.018569,-68.643664,FALSE,10,1,0,11,6,11,4,"ACAD_064_BL_20230628.JPG","ACAD_064_BR_20230628.JPG","ACAD_064_UL_20230628.JPG","ACAD_064_UR_20230628.JPG"
